objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7910384",5G NR,HEEMSTEDE,1996/08/13,2020/07/21,5G NR,Heemstede,101824,484258,2105VN,695544217
"7910385",5G NR,HARDERWIJK,2007/12/04,2021/04/15,5G NR,Harderwijk,172270,484051,3842GR,5362725295
"7910386",5G NR,ALMELO,2004/08/20,2021/10/21,5G NR,Almelo,243510,484870,7601PC,4381218566
"7910387",5G NR,ALMELO,2021/05/03,2021/06/03,5G NR,Almelo,241142,484864,7606VG,3074878727
"7910388",5G NR,ALMERE-HAVEN,1998/11/04,2020/08/05,5G NR,Almere,143640,484170,1351JG,2159342634
"7910389",5G NR,AMSTERDAM,1998/10/23,2020/07/21,5G NR,Amsterdam,117860,484300,1059CM,6777517746
"7910390",5G NR,ALMERE,2020/06/21,2020/07/21,5G NR,Almere,140726,484190,1322CK,3955919958
"7910391",5G NR,AMSTERDAM,1999/02/24,2020/07/21,5G NR,Amsterdam,120700,484312,1077WS,7584624590
"7910392",5G NR,NUNSPEET,2011/08/11,2021/02/18,5G NR,Nunspeet,182315,484302,8071PA,1086791495
"7910393",5G NR,AMSTERDAM,2021/05/03,2021/06/03,5G NR,Amsterdam,117087,484444,1066BP,2755047662
"7910394",5G NR,ALMELO,1998/03/31,2021/10/28,5G NR,Almelo,241845,485063,7601BK,4576461924
"7910395",5G NR,ALMERE,2020/06/21,2020/07/21,5G NR,Almere,142222,484340,1359HW,4282360479
"7910396",5G NR,BLOEMENDAAL,1997/03/17,2021/08/05,5G NR,Bloemendaal,100045,484652,2114BH,9828663971
"7910397",5G NR,AMSTERDAM,1995/06/23,2020/07/21,5G NR,Amsterdam,118450,484550,1059BN,94091504
"7910398",5G NR,ALMERE,2020/06/21,2020/07/21,5G NR,Almere,149470,484420,1343AG,9374964136
"7910399",5G NR,AMSTERDAM,1998/08/06,2020/07/21,5G NR,Amsterdam,122150,484530,1078PW,2243604862
"7910400",5G NR,VIJFHUIZEN,1996/03/28,2020/07/21,5G NR,Haarlemmermeer,107049,484654,2141XG,2717915727
"7910401",5G NR,ALMERE,2011/12/22,2020/07/21,5G NR,Almere,139925,484464,1362JA,8438158945
"7910402",5G NR,AMSTERDAM,1996/03/28,2020/07/21,5G NR,Amsterdam,123150,484550,1097JB,7197173856
"7910403",5G NR,ALMERE,1998/08/20,2021/05/20,5G NR,Almere,141410,484510,1322CJ,4094599680
"7910404",5G NR,AMSTERDAM,1997/02/19,2020/07/21,5G NR,Amsterdam,124850,484610,1098SM,7636811710
"7910405",5G NR,LIJNDEN,2009/12/31,2020/07/21,5G NR,Haarlemmermeer,112647,484703,1175LK,6127176776
"7910406",5G NR,DIEMEN,1997/06/06,2021/06/21,5G NR,Diemen,126035,484650,1111LA,6629729675
"7910407",5G NR,AMSTERDAM,1997/02/21,2020/12/17,5G NR,Amsterdam,121244,484712,1072MA,4841148121
"7910408",5G NR,HEEMSTEDE,1996/10/08,2020/07/21,5G NR,Heemstede,102554,484966,2101SK,4855900132
"7910409",5G NR,AMSTERDAM,2021/05/25,2021/06/25,5G NR,Amsterdam,118924,484819,1075XA,2372211078
"7910410",5G NR,AMSTERDAM,1999/04/09,2020/07/21,5G NR,Amsterdam,118033,484868,1059VH,4943950761
