objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7934595",LTE,Sittard,2015/02/28,2015/03/14,LTE,Sittard-Geleen,188256,336727,6136GM,5347095065
"7934596",LTE,Obbicht,2018/09/27,2018/10/11,LTE,Sittard-Geleen,182507,337399,6125AW,276751256
"7934597",LTE,Sittard,2018/11/08,2018/11/22,LTE,Sittard-Geleen,188502,337554,6136KT,879865361
"7934598",LTE,Grevenbicht,2020/07/09,2020/07/23,LTE,Sittard-Geleen,183082,338485,6124AK,3944646977
"7934599",LTE,Born,2019/01/24,2019/02/07,LTE,Sittard-Geleen,184477,338598,6121MA,9286208191
"7934600",LTE,Nieuwstadt,2014/07/18,2014/08/01,LTE,Echt-Susteren,188155,339223,6118DE,2505374349
"7934601",LTE,Born,2015/02/28,2015/03/14,LTE,Sittard-Geleen,186046,339265,6121RD,224420798
"7934602",LTE,Born,2016/03/18,2016/04/01,LTE,Sittard-Geleen,184807,340039,6121RX,879909717
"7934603",LTE,Koningsbosch,2014/02/18,2014/03/04,LTE,Echt-Susteren,194960,340450,6104AB,1087625878
"7908640",LTE,Breda,2020/08/06,2020/08/06,LTE,Breda,111499,398136,4837CJ,2062868605
"7908641",LTE,Liempde,2014/07/24,2014/07/24,LTE,Boxtel,154040,397980,5298BW,2456437188
"7908642",LTE,Tilburg,2014/12/11,2015/08/26,LTE,Tilburg,133761,398036,5046JV,7780378356
"7908643",LTE,Oisterwijk,2005/12/31,2020/02/13,LTE,Oisterwijk,140559,398017,5062JK,2995450727
"7908644",LTE,Hulten,2016/12/20,2017/07/18,LTE,Gilze en Rijen,125656,398086,5125NA,3658270883
"7908645",LTE,Tilburg,2020/08/06,2020/08/06,LTE,Tilburg,135805,398089,5015BP,1205680378
"7908646",LTE,Etten-Leur,2003/12/29,2015/10/19,LTE,Etten-Leur,102897,398344,4872TA,3594375472
"7908647",LTE,Overloon,2020/07/24,2020/07/24,LTE,Boxmeer,192910,398267,5825KA,4471575324
"7908648",LTE,Breda,2012/09/27,2017/09/05,LTE,Breda,114152,398296,4834EC,9705609715
"7908649",LTE,Breda,2014/09/01,2020/01/16,LTE,Breda,110108,398391,4813PT,2801087690
"7908650",LTE,Vlaardingen,2013/11/06,2019/12/19,LTE,Vlaardingen,83264,436187,3134AC,6005455381
"7908651",LTE,Rotterdam,2014/11/27,2015/06/10,LTE,Rotterdam,94121,436065,3071AK,3068761823
"7908652",LTE,Capelle aan den IJssel,2020/09/24,2020/09/24,LTE,Capelle aan den IJssel,97797,436023,2901BR,7917513176
"7908653",LTE,Sinderen,2018/11/06,2018/11/06,LTE,Oude IJsselstreek,229127,436263,7065BL,2096940
"7908654",LTE,Elst (GD),2015/01/07,2015/10/28,LTE,Overbetuwe,187686,435821,6662NE,1091134240
"7908655",LTE,Krimpen aan den IJssel,2013/10/17,2013/10/17,LTE,Krimpen aan den IJssel,99463,436030,2921LK,8559796332
"7908656",LTE,Capelle aan den IJssel,2001/12/31,2013/10/16,LTE,Capelle aan den IJssel,96716,436082,2909LC,81003346
"7908657",LTE,Rotterdam,2014/06/27,2015/06/10,LTE,Rotterdam,91398,436153,3015GG,2851729040
"7908658",LTE,Rotterdam,2007/03/08,2019/12/19,LTE,Rotterdam,92347,436153,3016BE,3871393246
"7908659",LTE,Rotterdam,2020/10/12,2020/10/12,LTE,Rotterdam,90106,436194,3026AE,4950181999
"7908660",LTE,Rotterdam,2014/03/05,2015/06/10,LTE,Rotterdam,91248,436252,3021NP,7636083779
"7908661",LTE,Silvolde,2015/06/23,2015/12/17,LTE,Oude IJsselstreek,224129,436351,7064GE,7843484671
"7908662",LTE,Angeren,2020/07/06,2020/07/06,LTE,Lingewaard,194366,436033,6687LR,6065028800
"7908663",LTE,Krimpen aan den IJssel,2005/10/13,2016/11/10,LTE,Krimpen aan den IJssel,100238,436184,2923AT,1793239711
"7908664",LTE,Rotterdam,1999/01/19,2013/10/29,LTE,Rotterdam,89860,436332,3026CP,5570842070
"7908665",LTE,Rotterdam,2014/05/20,2016/10/06,LTE,Rotterdam,93951,436316,3071JP,3849514492
