's-Gravenhage,UMTS,21.0,81690,455342
's-Gravenhage,LTE,19.0,78648.2679,458299
's-Gravenhage,GSM 1800,28.0,81201.7321,456119
's-Gravenhage,UMTS,21.5,82000,456152
's-Gravenhage,UMTS,3.0,83973,457336
's-Gravenhage,UMTS,29.9,80710,455632
's-Gravenhage,UMTS,3.0,86146,453204
's-Gravenhage,UMTS,60.0,81690,454940
's-Gravenhage,UMTS,19.9,78820,455442
's-Gravenhage,GSM 1800,5.0,81630,454900
's-Gravenhage,LTE,20.2,79986,453056
's-Gravenhage,LTE,22.8,77333.6699,451896.5
's-Gravenhage,LTE,18.6,78496,454889
's-Gravenhage,GSM 900,35.0,82278,454151
's-Gravenhage,GSM 900,25.6,79736,453695
's-Gravenhage,LTE,19.1,78901,456790
's-Gravenhage,LTE,25.2,80245.6699,455222.5
's-Gravenhage,UMTS,27.3,76545,451152
's-Gravenhage,UMTS,26.2,75125,454165
's-Gravenhage,UMTS,26.3,80906,454422
's-Gravenhage,LTE,25.8,81648,457600
's-Gravenhage,UMTS,59.0,82100,455305
's-Gravenhage,GSM 900,29.9,87238.6699,454263.5
's-Gravenhage,UMTS,40.0,82132,455453
's-Gravenhage,LTE,23.0,77845.6699,456347.5
's-Gravenhage,UMTS,34.4,82960,455852
's-Gravenhage,LTE,17.7,78560,453287
's-Gravenhage,UMTS,27.5,82255,458253
's-Gravenhage,UMTS,26.8,81650,457602
's-Gravenhage,UMTS,17.7,78560,453294
's-Gravenhage,LTE,23.5,86694.2447,453454.5451
's-Gravenhage,UMTS,30.8,79410,456537
's-Gravenhage,LTE,20.0,78029.2679,454449
's-Gravenhage,LTE,29.5,79408.2679,456534
's-Gravenhage,UMTS,23.0,79281,457297
's-Gravenhage,UMTS,36.6,78060,450055
's-Gravenhage,UMTS,23.4,78754,455450
's-Gravenhage,UMTS,3.0,81413,455061
's-Gravenhage,GSM 1800,20.5,78689,454071
's-Gravenhage,GSM 1800,22.3,78560.3301,458196.5
's-Gravenhage,LTE,32.0,79700,459360
's-Gravenhage,UMTS,3.0,82163,458217
's-Gravenhage,LTE,25.1,84348.2679,456999
's-Gravenhage,LTE,64.7,81493,456944
's-Gravenhage,UMTS,20.0,78719,454824
's-Gravenhage,UMTS,3.0,81293,455125
's-Gravenhage,UMTS,22.7,74216,451343
's-Gravenhage,UMTS,33.6,79800,454905
's-Gravenhage,UMTS,25.5,78511,452713
's-Gravenhage,UMTS,45.5,80178,454541
's-Gravenhage,LTE,23.1,74217.2679,451348
's-Gravenhage,UMTS,47.3,75500,452705
's-Gravenhage,UMTS,31.6,79416,458736
's-Gravenhage,UMTS,21.7,81762,454754
's-Gravenhage,UMTS,40.3,82967,455848
's-Gravenhage,UMTS,39.5,83250,455002
's-Gravenhage,UMTS,3.0,86186,453262
's-Gravenhage,UMTS,27.7,79667,454348
's-Gravenhage,UMTS,31.7,79422,456530
's-Gravenhage,UMTS,32.0,79707,451257
's-Gravenhage,UMTS,26.5,80965,454768
's-Gravenhage,UMTS,32.9,78300,457787
's-Gravenhage,UMTS,42.0,81758,454995
's-Gravenhage,UMTS,18.0,81100,455052
's-Gravenhage,UMTS,22.0,81694,455342
's-Gravenhage,UMTS,46.8,80182,454549
's-Gravenhage,UMTS,23.4,82572,455236
's-Gravenhage,UMTS,28.6,79200,458655
's-Gravenhage,UMTS,22.6,82463,456596
's-Gravenhage,UMTS,37.5,86699,453458
's-Gravenhage,UMTS,19.8,83326,455954
's-Gravenhage,UMTS,28.4,85222,453660
's-Gravenhage,UMTS,22.4,76844,453251
's-Gravenhage,UMTS,20.7,79986,453059
's-Gravenhage,UMTS,48.0,84100,453817
's-Gravenhage,UMTS,3.0,82000,455227
's-Gravenhage,GSM 1800,20.2,81284,455317
's-Gravenhage,GSM 1800,25.8,82693.3301,453247.5
's-Gravenhage,UMTS,29.5,78100,455405
's-Gravenhage,LTE,41.2,82216,454000
's-Gravenhage,LTE,54.3,79428,455272
's-Gravenhage,GSM 1800,18.5,78852.7321,456680
's-Gravenhage,LTE,27.6,87245,454208
's-Gravenhage,UMTS,28.7,86690,453468
's-Gravenhage,LTE,20.8,77787.6699,453430.5
's-Gravenhage,LTE,28.0,79514.6699,451408.5
's-Gravenhage,LTE,25.8,82684.6699,453247.5
's-Gravenhage,LTE,46.3,83938.6699,456308.5
's-Gravenhage,LTE,33.6,79795,454900
's-Gravenhage,LTE,10.0,86348.2679,454099
's-Gravenhage,LTE,22.0,81689.6699,455334.5
's-Gravenhage,LTE,29.4,84773,456600
's-Gravenhage,UMTS,20.4,76766,452329
's-Gravenhage,UMTS,23.6,81689,453557
's-Gravenhage,GSM 900,12.0,85297,456437
's-Gravenhage,UMTS,30.0,86690,452247
's-Gravenhage,LTE,28.2,79364.6699,456683.5
's-Gravenhage,LTE,18.8,79097.0979,454672.618
's-Gravenhage,LTE,7.8,79322,458992
's-Gravenhage,LTE,54.8,79426.2679,455272
