FID;Municipality;Application;Antenna height;Coordinates;
antenneregister.fid-5a1e297e_17d0a604c22_-2601;Aa en Hunze;UMTS;47.3;243900;546005
antenneregister.fid-5a1e297e_17d0a604c22_-2600;Aa en Hunze;UMTS;39.1;243857;545958
antenneregister.fid-5a1e297e_17d0a604c22_-25ff;Aalburg;GSM 1800;44.5;136462;419580
antenneregister.fid-5a1e297e_17d0a604c22_-25fe;Aalburg;GSM 900;30;131951.7321;413899
antenneregister.fid-5a1e297e_17d0a604c22_-25fd;Aalburg;GSM 900;34.9;132173.7321;415758
antenneregister.fid-5a1e297e_17d0a604c22_-25fc;Aalburg;GSM 900;28.5;136325;419550
antenneregister.fid-5a1e297e_17d0a604c22_-25fb;Aalburg;GSM 900;44.5;136460;419575
antenneregister.fid-5a1e297e_17d0a604c22_-25fa;Aalburg;GSM 900;25.4;137324;419072
antenneregister.fid-5a1e297e_17d0a604c22_-25f9;Aalburg;LTE;30;131945.6699;413897.5
antenneregister.fid-5a1e297e_17d0a604c22_-25f8;Aalburg;LTE;34.9;132167.6699;415756.5
antenneregister.fid-5a1e297e_17d0a604c22_-25f7;Aalburg;LTE;44.5;136458;419580
antenneregister.fid-5a1e297e_17d0a604c22_-25f6;Aalburg;UMTS;30;131950;413902
antenneregister.fid-5a1e297e_17d0a604c22_-25f5;Aalburg;UMTS;36.1;132172;415761
antenneregister.fid-5a1e297e_17d0a604c22_-25f4;Aalburg;UMTS;28;132176;415766
antenneregister.fid-5a1e297e_17d0a604c22_-25f3;Aalburg;UMTS;22.5;133835;416408
antenneregister.fid-5a1e297e_17d0a604c22_-25f2;Aalburg;UMTS;44.5;136460;419582
antenneregister.fid-5a1e297e_17d0a604c22_-25f1;Aalburg;UMTS;25.4;137324;419079
antenneregister.fid-5a1e297e_17d0a604c22_-25f0;Aalsmeer;GSM 1800;31.4;113846;475147
antenneregister.fid-5a1e297e_17d0a604c22_-25ef;Aalsmeer;GSM 1800;26.5;113827;474673
antenneregister.fid-5a1e297e_17d0a604c22_-25ee;Aalsmeer;GSM 1800;30.2;114012;474777
antenneregister.fid-5a1e297e_17d0a604c22_-25ed;Aalsmeer;GSM 1800;36.9;112425;474760
antenneregister.fid-5a1e297e_17d0a604c22_-25ec;Aalsmeer;GSM 1800;36.8;114428.3301;476224.5
antenneregister.fid-5a1e297e_17d0a604c22_-25eb;Aalsmeer;GSM 1800;23.1;113163;474593
antenneregister.fid-5a1e297e_17d0a604c22_-25ea;Aalsmeer;GSM 1800;26;111635;471856
antenneregister.fid-5a1e297e_17d0a604c22_-25e9;Aalsmeer;GSM 1800;34;107081;471185
antenneregister.fid-5a1e297e_17d0a604c22_-25e8;Aalsmeer;GSM 900;29.9;114007;474772
antenneregister.fid-5a1e297e_17d0a604c22_-25e7;Aalsmeer;GSM 900;25.9;113825;474668
antenneregister.fid-5a1e297e_17d0a604c22_-25e6;Aalsmeer;GSM 900;23.3;112417.7321;474762
antenneregister.fid-5a1e297e_17d0a604c22_-25e5;Aalsmeer;GSM 900;29.5;112423;474755
antenneregister.fid-5a1e297e_17d0a604c22_-25e4;Aalsmeer;GSM 900;18.5;113951.7321;477159
antenneregister.fid-5a1e297e_17d0a604c22_-25e3;Aalsmeer;GSM 900;23.2;113158;474591
antenneregister.fid-5a1e297e_17d0a604c22_-25e2;Aalsmeer;GSM 900;19.3;112435;474738
antenneregister.fid-5a1e297e_17d0a604c22_-25e1;Aalsmeer;GSM 900;17.4;111916.3301;475403.5
antenneregister.fid-5a1e297e_17d0a604c22_-25e0;Aalsmeer;GSM 900;20.5;111575.7321;475610
antenneregister.fid-5a1e297e_17d0a604c22_-25df;Aalsmeer;GSM 900;15;112461.7321;475759
antenneregister.fid-5a1e297e_17d0a604c22_-25de;Aalsmeer;GSM 900;29;113610;475186
antenneregister.fid-5a1e297e_17d0a604c22_-25dd;Aalsmeer;GSM 900;14.5;113554.3301;474397.5
antenneregister.fid-5a1e297e_17d0a604c22_-25dc;Aalsmeer;GSM 900;31.4;113841;475142
antenneregister.fid-5a1e297e_17d0a604c22_-25db;Aalsmeer;GSM 900;27.8;114416.3301;476229.5
antenneregister.fid-5a1e297e_17d0a604c22_-25da;Aalsmeer;GSM 900;16.7;112111.7321;475249
antenneregister.fid-5a1e297e_17d0a604c22_-25d9;Aalsmeer;GSM 900;26;111633;471851
antenneregister.fid-5a1e297e_17d0a604c22_-25d8;Aalsmeer;GSM 900;22.5;111634.7321;471862
antenneregister.fid-5a1e297e_17d0a604c22_-25d7;Aalsmeer;GSM 900;18.8;111635;471864
antenneregister.fid-5a1e297e_17d0a604c22_-25d6;Aalsmeer;GSM 900;34;107076;471183
antenneregister.fid-5a1e297e_17d0a604c22_-25d5;Aalsmeer;LTE;23.3;112414.2679;474762
antenneregister.fid-5a1e297e_17d0a604c22_-25d4;Aalsmeer;LTE;15;112455.6699;475757.5
antenneregister.fid-5a1e297e_17d0a604c22_-25d3;Aalsmeer;LTE;14.5;113545.6699;474397.5
antenneregister.fid-5a1e297e_17d0a604c22_-25d2;Aalsmeer;LTE;27.8;114410.2679;476231
antenneregister.fid-5a1e297e_17d0a604c22_-25d1;Aalsmeer;LTE;23.1;113153;474593
antenneregister.fid-5a1e297e_17d0a604c22_-25d0;Aalsmeer;LTE;36.8;114419.6699;476224.5
antenneregister.fid-5a1e297e_17d0a604c22_-25cf;Aalsmeer;LTE;16.7;112105.6699;475247.5
antenneregister.fid-5a1e297e_17d0a604c22_-25ce;Aalsmeer;LTE;18.5;113945.6699;477157.5
antenneregister.fid-5a1e297e_17d0a604c22_-25cd;Aalsmeer;LTE;29.9;114002;474777
antenneregister.fid-5a1e297e_17d0a604c22_-25cc;Aalsmeer;LTE;31.4;113836;475147
antenneregister.fid-5a1e297e_17d0a604c22_-25cb;Aalsmeer;LTE;20.5;111572.2679;475610
antenneregister.fid-5a1e297e_17d0a604c22_-25ca;Aalsmeer;LTE;36.9;112418;474760
antenneregister.fid-5a1e297e_17d0a604c22_-25c9;Aalsmeer;LTE;26.5;113820;474673
antenneregister.fid-5a1e297e_17d0a604c22_-25c8;Aalsmeer;LTE;17.4;111907.6699;475403.5
antenneregister.fid-5a1e297e_17d0a604c22_-25c7;Aalsmeer;LTE;22.5;111631.2679;471862
antenneregister.fid-5a1e297e_17d0a604c22_-25c6;Aalsmeer;LTE;26;111631;471856
antenneregister.fid-5a1e297e_17d0a604c22_-25c5;Aalsmeer;LTE;20.4;111500;472370
antenneregister.fid-5a1e297e_17d0a604c22_-25c4;Aalsmeer;LTE;34;107071;471185
antenneregister.fid-5a1e297e_17d0a604c22_-25c3;Aalsmeer;UMTS;17.4;111912;475411
antenneregister.fid-5a1e297e_17d0a604c22_-25c2;Aalsmeer;UMTS;38.5;114415;476238
antenneregister.fid-5a1e297e_17d0a604c22_-25c1;Aalsmeer;UMTS;18.5;113950;477165
antenneregister.fid-5a1e297e_17d0a604c22_-25c0;Aalsmeer;UMTS;14.5;113550;474402
antenneregister.fid-5a1e297e_17d0a604c22_-25bf;Aalsmeer;UMTS;21.6;111574;475616
antenneregister.fid-5a1e297e_17d0a604c22_-25be;Aalsmeer;UMTS;26.5;113825;474675
antenneregister.fid-5a1e297e_17d0a604c22_-25bd;Aalsmeer;UMTS;16.7;112110;475255
antenneregister.fid-5a1e297e_17d0a604c22_-25bc;Aalsmeer;UMTS;31;114412;476234
antenneregister.fid-5a1e297e_17d0a604c22_-25bb;Aalsmeer;UMTS;15;112460;475762
antenneregister.fid-5a1e297e_17d0a604c22_-25ba;Aalsmeer;UMTS;36.8;114424;476229
antenneregister.fid-5a1e297e_17d0a604c22_-25b9;Aalsmeer;UMTS;23.2;113158;474595
antenneregister.fid-5a1e297e_17d0a604c22_-25b8;Aalsmeer;UMTS;32.7;113841;475149
antenneregister.fid-5a1e297e_17d0a604c22_-25b7;Aalsmeer;UMTS;30.2;114007;474782
antenneregister.fid-5a1e297e_17d0a604c22_-25b6;Aalsmeer;UMTS;36.9;112423;474765
antenneregister.fid-5a1e297e_17d0a604c22_-25b5;Aalsmeer;UMTS;26.4;112416;474765
antenneregister.fid-5a1e297e_17d0a604c22_-25b4;Aalsmeer;UMTS;19.3;112435;474742
antenneregister.fid-5a1e297e_17d0a604c22_-25b3;Aalsmeer;UMTS;26;111633;471861
antenneregister.fid-5a1e297e_17d0a604c22_-25b2;Aalsmeer;UMTS;20.4;111500;472377
antenneregister.fid-5a1e297e_17d0a604c22_-25b1;Aalsmeer;UMTS;22.5;111633;471868
antenneregister.fid-5a1e297e_17d0a604c22_-25b0;Aalsmeer;UMTS;34;107076;471187
antenneregister.fid-5a1e297e_17d0a604c22_-25af;Aalten;GSM 1800;38.3;236455;436770
antenneregister.fid-5a1e297e_17d0a604c22_-25ae;Aalten;GSM 900;33.7;236770;438900
antenneregister.fid-5a1e297e_17d0a604c22_-25ad;Aalten;GSM 900;24;236446.3301;436805.5
antenneregister.fid-5a1e297e_17d0a604c22_-25ac;Aalten;GSM 900;28;236450;436768
antenneregister.fid-5a1e297e_17d0a604c22_-25ab;Aalten;GSM 900;36.4;236435;436811
antenneregister.fid-5a1e297e_17d0a604c22_-25aa;Aalten;GSM 900;21;237029.3301;437619.5
antenneregister.fid-5a1e297e_17d0a604c22_-25a9;Aalten;GSM 900;28.4;236770;437145
antenneregister.fid-5a1e297e_17d0a604c22_-25a8;Aalten;GSM 900;20.2;234607;434004
antenneregister.fid-5a1e297e_17d0a604c22_-25a7;Aalten;GSM 900;30.8;236782;438894
antenneregister.fid-5a1e297e_17d0a604c22_-25a6;Aalten;GSM 900;28;236780;438900
antenneregister.fid-5a1e297e_17d0a604c22_-25a5;Aalten;GSM 900;23.7;239584;439967
antenneregister.fid-5a1e297e_17d0a604c22_-25a4;Aalten;GSM 900;28;239980;440278
antenneregister.fid-5a1e297e_17d0a604c22_-25a3;Aalten;GSM 900;22.4;239591;439982
antenneregister.fid-5a1e297e_17d0a604c22_-25a2;Aalten;GSM 900;32.8;230284;431790
antenneregister.fid-5a1e297e_17d0a604c22_-25a1;Aalten;GSM 900;25.8;231120;431215
antenneregister.fid-5a1e297e_17d0a604c22_-25a0;Aalten;GSM 900;28;230522.7321;431407
antenneregister.fid-5a1e297e_17d0a604c22_-259f;Aalten;GSM 900;15.8;234612;433996
antenneregister.fid-5a1e297e_17d0a604c22_-259e;Aalten;LTE;24;236437.6699;436805.5
antenneregister.fid-5a1e297e_17d0a604c22_-259d;Aalten;LTE;21;237023.2679;437621
antenneregister.fid-5a1e297e_17d0a604c22_-259c;Aalten;LTE;28;236445;436770
antenneregister.fid-5a1e297e_17d0a604c22_-259b;Aalten;LTE;28;239980;440285
antenneregister.fid-5a1e297e_17d0a604c22_-259a;Aalten;LTE;28;230516.6699;431405.5
antenneregister.fid-5a1e297e_17d0a604c22_-2599;Aalten;UMTS;24;238396;440648
antenneregister.fid-5a1e297e_17d0a604c22_-2598;Aalten;UMTS;28.6;236770;437152
antenneregister.fid-5a1e297e_17d0a604c22_-2597;Aalten;UMTS;29.6;240841;438792
antenneregister.fid-5a1e297e_17d0a604c22_-2596;Aalten;UMTS;37;236170;437586
antenneregister.fid-5a1e297e_17d0a604c22_-2595;Aalten;UMTS;34.7;237099;439094
antenneregister.fid-5a1e297e_17d0a604c22_-2594;Aalten;UMTS;21;237025;437624
