FID;Municipality;Application;Antenna height;Coordinates;
antenneregister.fid-5a1e297e_17d0a604c22_-22da;Almere;UMTS;23.7;143430;488392
antenneregister.fid-5a1e297e_17d0a604c22_-22d9;Almere;UMTS;21.7;143367;487339
antenneregister.fid-5a1e297e_17d0a604c22_-22d8;Almere;UMTS;23.8;141150;486500
antenneregister.fid-5a1e297e_17d0a604c22_-22d7;Almere;UMTS;22.3;148532;490186
antenneregister.fid-5a1e297e_17d0a604c22_-22d6;Almere;UMTS;37.4;148488.4363;491671.247
antenneregister.fid-5a1e297e_17d0a604c22_-22d5;Almere;UMTS;28;147370;489558
antenneregister.fid-5a1e297e_17d0a604c22_-22d4;Almere;UMTS;22.4;138596;483024
antenneregister.fid-5a1e297e_17d0a604c22_-22d3;Almere;UMTS;34.1;143450;488197
antenneregister.fid-5a1e297e_17d0a604c22_-22d2;Almere;UMTS;48.2;151363;490247
antenneregister.fid-5a1e297e_17d0a604c22_-22d1;Almere;UMTS;49.1;141086;484588
antenneregister.fid-5a1e297e_17d0a604c22_-22d0;Almere;UMTS;19.8;143966;492195
antenneregister.fid-5a1e297e_17d0a604c22_-22cf;Almere;UMTS;33.9;142630;488822
antenneregister.fid-5a1e297e_17d0a604c22_-22ce;Almere;UMTS;23.3;148805;488825
antenneregister.fid-5a1e297e_17d0a604c22_-22cd;Almere;UMTS;30.2;148775;482410
antenneregister.fid-5a1e297e_17d0a604c22_-22cc;Almere;UMTS;23.2;148508;490169
antenneregister.fid-5a1e297e_17d0a604c22_-22cb;Almere;UMTS;20.3;141410;484512
antenneregister.fid-5a1e297e_17d0a604c22_-22ca;Almere;UMTS;18.4;140838;488825
antenneregister.fid-5a1e297e_17d0a604c22_-22c9;Almere;UMTS;30.2;145646;488972
antenneregister.fid-5a1e297e_17d0a604c22_-22c8;Almere;UMTS;47.9;147532;488113
antenneregister.fid-5a1e297e_17d0a604c22_-22c7;Almere;UMTS;19.7;141746;485451
antenneregister.fid-5a1e297e_17d0a604c22_-22c6;Almere;UMTS;21.9;143611;484301
antenneregister.fid-5a1e297e_17d0a604c22_-22c5;Almere;UMTS;30.2;148873;488844
antenneregister.fid-5a1e297e_17d0a604c22_-22c4;Almere;UMTS;35.7;148781;482405
antenneregister.fid-5a1e297e_17d0a604c22_-22c3;Almere;UMTS;31;140660;485995
antenneregister.fid-5a1e297e_17d0a604c22_-22c2;Almere;UMTS;18.7;139090;485045
antenneregister.fid-5a1e297e_17d0a604c22_-22c1;Almere;UMTS;48.1;147878;488305
antenneregister.fid-5a1e297e_17d0a604c22_-22c0;Almere;UMTS;34.1;147225;492200
antenneregister.fid-5a1e297e_17d0a604c22_-22bf;Almere;UMTS;48.5;144809;486631
antenneregister.fid-5a1e297e_17d0a604c22_-22be;Almere;UMTS;21.6;148549;490159
antenneregister.fid-5a1e297e_17d0a604c22_-22bd;Almere;UMTS;23.1;145638;492002
antenneregister.fid-5a1e297e_17d0a604c22_-22bc;Almere;UMTS;17.8;148990;490636
antenneregister.fid-5a1e297e_17d0a604c22_-22bb;Almere;UMTS;38;145647;488978
antenneregister.fid-5a1e297e_17d0a604c22_-22ba;Almere;UMTS;24;145524;492035
antenneregister.fid-5a1e297e_17d0a604c22_-22b9;Almere;UMTS;23.4;143305;487082
antenneregister.fid-5a1e297e_17d0a604c22_-22b8;Almere;UMTS;23.7;143087;486328
antenneregister.fid-5a1e297e_17d0a604c22_-22b7;Almere;UMTS;19;141180;487526
antenneregister.fid-5a1e297e_17d0a604c22_-22b6;Almere;UMTS;28.4;147369;489550
antenneregister.fid-5a1e297e_17d0a604c22_-22b5;Almere;UMTS;23.7;143947;492215
antenneregister.fid-5a1e297e_17d0a604c22_-22b4;Almere;UMTS;23;145199;488000
antenneregister.fid-5a1e297e_17d0a604c22_-22b3;Almere;UMTS;16.3;147374;486428
antenneregister.fid-5a1e297e_17d0a604c22_-22b2;Almere;UMTS;19.1;140726;484190
antenneregister.fid-5a1e297e_17d0a604c22_-22b1;Almere;UMTS;49.3;144474;486442
antenneregister.fid-5a1e297e_17d0a604c22_-22b0;Almere;UMTS;27.8;138606;483023
antenneregister.fid-5a1e297e_17d0a604c22_-22af;Almere;UMTS;27.9;146929;490995
antenneregister.fid-5a1e297e_17d0a604c22_-22ae;Almere;UMTS;36.2;144410;483502
antenneregister.fid-5a1e297e_17d0a604c22_-22ad;Almere;UMTS;18.2;139925;484469
antenneregister.fid-5a1e297e_17d0a604c22_-22ac;Almere;UMTS;23.3;143725;483065
antenneregister.fid-5a1e297e_17d0a604c22_-22ab;Almere;UMTS;36.9;142615;488801
antenneregister.fid-5a1e297e_17d0a604c22_-22aa;Almere;UMTS;20.9;143110;485695
antenneregister.fid-5a1e297e_17d0a604c22_-22a9;Almere;UMTS;38.5;140590;487645
antenneregister.fid-5a1e297e_17d0a604c22_-22a8;Almere;UMTS;48.2;142435;485327
antenneregister.fid-5a1e297e_17d0a604c22_-22a7;Almere;UMTS;50.1;151720;490405
antenneregister.fid-5a1e297e_17d0a604c22_-22a6;Almere;UMTS;27;137820;485190
antenneregister.fid-5a1e297e_17d0a604c22_-22a5;Almere;UMTS;29;141679;486437
antenneregister.fid-5a1e297e_17d0a604c22_-22a4;Almere;UMTS;28;149507;484437
antenneregister.fid-5a1e297e_17d0a604c22_-22a3;Almere;UMTS;34.7;146738;485835
antenneregister.fid-5a1e297e_17d0a604c22_-22a2;Almere;UMTS;27.4;148778;482408
antenneregister.fid-5a1e297e_17d0a604c22_-22a1;Almere;UMTS;33.1;138600;483005
antenneregister.fid-5a1e297e_17d0a604c22_-22a0;Almere;UMTS;36.2;149470;484425
antenneregister.fid-5a1e297e_17d0a604c22_-229f;Almere;UMTS;17.7;144395;483262
antenneregister.fid-5a1e297e_17d0a604c22_-229e;Almere;UMTS;17.4;139037;485494
antenneregister.fid-5a1e297e_17d0a604c22_-229d;Almere;UMTS;36.7;143015;486822
antenneregister.fid-5a1e297e_17d0a604c22_-229c;Almere;UMTS;26.4;147371;489549
antenneregister.fid-5a1e297e_17d0a604c22_-229b;Almere;UMTS;38.5;147533;488119
antenneregister.fid-5a1e297e_17d0a604c22_-229a;Almere;UMTS;36.9;145655;490343
antenneregister.fid-5a1e297e_17d0a604c22_-2299;Almere;UMTS;32.6;143640;484195
antenneregister.fid-5a1e297e_17d0a604c22_-2298;Almere;UMTS;27.2;146306;482817
antenneregister.fid-5a1e297e_17d0a604c22_-2297;Almere;UMTS;20.8;145725;492061
antenneregister.fid-5a1e297e_17d0a604c22_-2296;Almere;UMTS;27.2;143732;487012
antenneregister.fid-5a1e297e_17d0a604c22_-2295;Almere;UMTS;49.7;142770;485512
antenneregister.fid-5a1e297e_17d0a604c22_-2294;Almere;UMTS;42.5;142112;485139
antenneregister.fid-5a1e297e_17d0a604c22_-2293;Almere;UMTS;28.9;141145;486507
antenneregister.fid-5a1e297e_17d0a604c22_-2292;Almere;UMTS;19.3;145774;488238
antenneregister.fid-5a1e297e_17d0a604c22_-2291;Almere;UMTS;26.9;148490;491675
antenneregister.fid-5a1e297e_17d0a604c22_-2290;Almere;UMTS;24.1;145115;485470
antenneregister.fid-5a1e297e_17d0a604c22_-228f;Almere;UMTS;26.8;145235;487915
antenneregister.fid-5a1e297e_17d0a604c22_-228e;Almere;UMTS;47.3;140745;484406
antenneregister.fid-5a1e297e_17d0a604c22_-228d;Almere;UMTS;19.3;144400;483282
antenneregister.fid-5a1e297e_17d0a604c22_-228c;Almere;UMTS;55.3;150077;489761
antenneregister.fid-5a1e297e_17d0a604c22_-228b;Almere;UMTS;31.2;146940;491025
antenneregister.fid-5a1e297e_17d0a604c22_-228a;Almere;UMTS;36.2;148493;491666
antenneregister.fid-5a1e297e_17d0a604c22_-2289;Almere;UMTS;36.6;147230;492202
antenneregister.fid-5a1e297e_17d0a604c22_-2288;Almere;UMTS;33.7;143640;484175
antenneregister.fid-5a1e297e_17d0a604c22_-2287;Almere;UMTS;34.4;142289;483856
antenneregister.fid-5a1e297e_17d0a604c22_-2286;Almere;UMTS;21.7;143217;483053
antenneregister.fid-5a1e297e_17d0a604c22_-2285;Almere;UMTS;31;142287;483785
antenneregister.fid-5a1e297e_17d0a604c22_-2284;Almere;UMTS;23.7;145801;486812
antenneregister.fid-5a1e297e_17d0a604c22_-2283;Almere;UMTS;36.2;142459;486916
antenneregister.fid-5a1e297e_17d0a604c22_-2282;Alphen aan den Rijn;GSM 1800;27.2;104293.3301;461236.5
antenneregister.fid-5a1e297e_17d0a604c22_-2281;Alphen aan den Rijn;GSM 1800;20.9;105772;459037
antenneregister.fid-5a1e297e_17d0a604c22_-2280;Alphen aan den Rijn;GSM 1800;38.2;105081;462590
antenneregister.fid-5a1e297e_17d0a604c22_-227f;Alphen aan den Rijn;GSM 1800;29;105442;462550
antenneregister.fid-5a1e297e_17d0a604c22_-227e;Alphen aan den Rijn;GSM 1800;25.1;105612;458693
antenneregister.fid-5a1e297e_17d0a604c22_-227d;Alphen aan den Rijn;GSM 1800;20;104492;459470
antenneregister.fid-5a1e297e_17d0a604c22_-227c;Alphen aan den Rijn;GSM 1800;34.3;105577.7321;461768
antenneregister.fid-5a1e297e_17d0a604c22_-227b;Alphen aan den Rijn;GSM 1800;40.7;106391;461998
antenneregister.fid-5a1e297e_17d0a604c22_-227a;Alphen aan den Rijn;GSM 1800;18.1;104302;459638
antenneregister.fid-5a1e297e_17d0a604c22_-2279;Alphen aan den Rijn;GSM 1800;27.8;105575;460480
antenneregister.fid-5a1e297e_17d0a604c22_-2278;Alphen aan den Rijn;GSM 1800;34.3;104927;460996
antenneregister.fid-5a1e297e_17d0a604c22_-2277;Alphen aan den Rijn;GSM 900;20;104490;459465
antenneregister.fid-5a1e297e_17d0a604c22_-2276;Alphen aan den Rijn;GSM 900;40;104293;461244
antenneregister.fid-5a1e297e_17d0a604c22_-2275;Alphen aan den Rijn;GSM 900;38.6;106389;461996
antenneregister.fid-5a1e297e_17d0a604c22_-2274;Alphen aan den Rijn;GSM 900;21.5;105770;459035
antenneregister.fid-5a1e297e_17d0a604c22_-2273;Alphen aan den Rijn;GSM 900;24.2;103100;461343
antenneregister.fid-5a1e297e_17d0a604c22_-2272;Alphen aan den Rijn;GSM 900;25.1;105607;458688
antenneregister.fid-5a1e297e_17d0a604c22_-2271;Alphen aan den Rijn;GSM 900;33.7;104922;460994
antenneregister.fid-5a1e297e_17d0a604c22_-2270;Alphen aan den Rijn;GSM 900;36.2;105035;462681
antenneregister.fid-5a1e297e_17d0a604c22_-226f;Alphen aan den Rijn;GSM 900;42;106504.3301;462247.5
antenneregister.fid-5a1e297e_17d0a604c22_-226e;Alphen aan den Rijn;GSM 900;39;106495;462263
antenneregister.fid-5a1e297e_17d0a604c22_-226d;Alphen aan den Rijn;GSM 900;26.3;104633.7321;459745
antenneregister.fid-5a1e297e_17d0a604c22_-226c;Alphen aan den Rijn;GSM 900;29.3;105567;460475
antenneregister.fid-5a1e297e_17d0a604c22_-226b;Alphen aan den Rijn;GSM 900;18.1;104297;459636
antenneregister.fid-5a1e297e_17d0a604c22_-226a;Alphen aan den Rijn;GSM 900;31.3;105567.7321;460477
antenneregister.fid-5a1e297e_17d0a604c22_-2269;Alphen aan den Rijn;GSM 900;18.5;104476.3301;459091.5
antenneregister.fid-5a1e297e_17d0a604c22_-2268;Alphen aan den Rijn;GSM 900;27.8;105570;460478
antenneregister.fid-5a1e297e_17d0a604c22_-2267;Alphen aan den Rijn;GSM 900;28.4;103251.7321;461333
antenneregister.fid-5a1e297e_17d0a604c22_-2266;Alphen aan den Rijn;GSM 900;19.4;103214.3301;459512.5
antenneregister.fid-5a1e297e_17d0a604c22_-2265;Alphen aan den Rijn;GSM 900;38.2;105079;462585
antenneregister.fid-5a1e297e_17d0a604c22_-2264;Alphen aan den Rijn;GSM 900;24;103104.3301;461337.5
antenneregister.fid-5a1e297e_17d0a604c22_-2263;Alphen aan den Rijn;GSM 900;29;105440;462545
antenneregister.fid-5a1e297e_17d0a604c22_-2262;Alphen aan den Rijn;GSM 900;26;107176.7321;458036
antenneregister.fid-5a1e297e_17d0a604c22_-2261;Alphen aan den Rijn;GSM 900;30;104291.7321;461249
antenneregister.fid-5a1e297e_17d0a604c22_-2260;Alphen aan den Rijn;GSM 900;23.2;105771.7321;459029
antenneregister.fid-5a1e297e_17d0a604c22_-225f;Alphen aan den Rijn;GSM 900;15.7;109914;457850
antenneregister.fid-5a1e297e_17d0a604c22_-225e;Alphen aan den Rijn;GSM 900;19.2;109921.7321;457854
antenneregister.fid-5a1e297e_17d0a604c22_-225d;Alphen aan den Rijn;GSM 900;19.4;109924.3301;457847.5
antenneregister.fid-5a1e297e_17d0a604c22_-225c;Alphen aan den Rijn;LTE;16.8;105277;463175
antenneregister.fid-5a1e297e_17d0a604c22_-225b;Alphen aan den Rijn;LTE;19.2;104470.2679;459093
antenneregister.fid-5a1e297e_17d0a604c22_-225a;Alphen aan den Rijn;LTE;42;106498.2679;462249
antenneregister.fid-5a1e297e_17d0a604c22_-2259;Alphen aan den Rijn;LTE;25.3;103093;459674
antenneregister.fid-5a1e297e_17d0a604c22_-2258;Alphen aan den Rijn;LTE;26.9;104630.2679;459745
antenneregister.fid-5a1e297e_17d0a604c22_-2257;Alphen aan den Rijn;LTE;25.1;103803;461232
antenneregister.fid-5a1e297e_17d0a604c22_-2256;Alphen aan den Rijn;LTE;38.2;105074;462590
antenneregister.fid-5a1e297e_17d0a604c22_-2255;Alphen aan den Rijn;LTE;26;107173.2679;458036
antenneregister.fid-5a1e297e_17d0a604c22_-2254;Alphen aan den Rijn;LTE;18.1;104295;459638
antenneregister.fid-5a1e297e_17d0a604c22_-2253;Alphen aan den Rijn;LTE;17;106611;462896
antenneregister.fid-5a1e297e_17d0a604c22_-2252;Alphen aan den Rijn;LTE;40.7;106387;461998
antenneregister.fid-5a1e297e_17d0a604c22_-2251;Alphen aan den Rijn;LTE;20;104485;459470
antenneregister.fid-5a1e297e_17d0a604c22_-2250;Alphen aan den Rijn;LTE;29;105438;462550
antenneregister.fid-5a1e297e_17d0a604c22_-224f;Alphen aan den Rijn;LTE;24.6;104818;460403
antenneregister.fid-5a1e297e_17d0a604c22_-224e;Alphen aan den Rijn;LTE;25.1;105605;458693
antenneregister.fid-5a1e297e_17d0a604c22_-224d;Alphen aan den Rijn;LTE;27.8;105565;460480
antenneregister.fid-5a1e297e_17d0a604c22_-224c;Alphen aan den Rijn;LTE;34.3;105574.2679;461768
antenneregister.fid-5a1e297e_17d0a604c22_-224b;Alphen aan den Rijn;LTE;30;104285.6699;461247.5
antenneregister.fid-5a1e297e_17d0a604c22_-224a;Alphen aan den Rijn;LTE;27.2;104287.2679;461238
antenneregister.fid-5a1e297e_17d0a604c22_-2249;Alphen aan den Rijn;LTE;31.6;105561.6699;460475.5
antenneregister.fid-5a1e297e_17d0a604c22_-2248;Alphen aan den Rijn;LTE;24;103098.2679;461339
antenneregister.fid-5a1e297e_17d0a604c22_-2247;Alphen aan den Rijn;LTE;34.3;104920;460996
antenneregister.fid-5a1e297e_17d0a604c22_-2246;Alphen aan den Rijn;LTE;20.8;106272;459464
antenneregister.fid-5a1e297e_17d0a604c22_-2245;Alphen aan den Rijn;LTE;16.4;103723;460616
antenneregister.fid-5a1e297e_17d0a604c22_-2244;Alphen aan den Rijn;LTE;26.3;103245.6699;461331.5
antenneregister.fid-5a1e297e_17d0a604c22_-2243;Alphen aan den Rijn;LTE;20.9;105768;459037
antenneregister.fid-5a1e297e_17d0a604c22_-2242;Alphen aan den Rijn;LTE;19.4;103208.2679;459514
antenneregister.fid-5a1e297e_17d0a604c22_-2241;Alphen aan den Rijn;LTE;28.9;105850;461755
antenneregister.fid-5a1e297e_17d0a604c22_-2240;Alphen aan den Rijn;LTE;23.2;105765.6699;459027.5
antenneregister.fid-5a1e297e_17d0a604c22_-223f;Alphen aan den Rijn;LTE;19.4;109915.6699;457847.5
antenneregister.fid-5a1e297e_17d0a604c22_-223e;Alphen aan den Rijn;LTE;19.2;109915.6699;457852.5
antenneregister.fid-5a1e297e_17d0a604c22_-223d;Alphen aan den Rijn;LTE;31.2;107797;458603
antenneregister.fid-5a1e297e_17d0a604c22_-223c;Alphen aan den Rijn;LTE;37;104290;461243
antenneregister.fid-5a1e297e_17d0a604c22_-223b;Alphen aan den Rijn;UMTS;31.6;105566;460480
antenneregister.fid-5a1e297e_17d0a604c22_-223a;Alphen aan den Rijn;UMTS;32.6;104919;461028
antenneregister.fid-5a1e297e_17d0a604c22_-2239;Alphen aan den Rijn;UMTS;25.3;103100;461353
antenneregister.fid-5a1e297e_17d0a604c22_-2238;Alphen aan den Rijn;UMTS;33.8;104775;460102
antenneregister.fid-5a1e297e_17d0a604c22_-2237;Alphen aan den Rijn;UMTS;16.8;105277;463179
antenneregister.fid-5a1e297e_17d0a604c22_-2236;Alphen aan den Rijn;UMTS;20.8;106272;459471
antenneregister.fid-5a1e297e_17d0a604c22_-2235;Alphen aan den Rijn;UMTS;29.5;105850;461762
antenneregister.fid-5a1e297e_17d0a604c22_-2234;Alphen aan den Rijn;UMTS;34.3;105576;461774
antenneregister.fid-5a1e297e_17d0a604c22_-2233;Alphen aan den Rijn;UMTS;21.5;105770;459039
antenneregister.fid-5a1e297e_17d0a604c22_-2232;Alphen aan den Rijn;UMTS;45;104290;461255
antenneregister.fid-5a1e297e_17d0a604c22_-2231;Alphen aan den Rijn;UMTS;34.3;104922;461001
antenneregister.fid-5a1e297e_17d0a604c22_-2230;Alphen aan den Rijn;UMTS;29.2;105570;460485
antenneregister.fid-5a1e297e_17d0a604c22_-222f;Alphen aan den Rijn;UMTS;28;105567;460482
antenneregister.fid-5a1e297e_17d0a604c22_-222e;Alphen aan den Rijn;UMTS;20.3;106603;462902
antenneregister.fid-5a1e297e_17d0a604c22_-222d;Alphen aan den Rijn;UMTS;28.5;107175;458039
antenneregister.fid-5a1e297e_17d0a604c22_-222c;Alphen aan den Rijn;UMTS;27.8;104289;461241
antenneregister.fid-5a1e297e_17d0a604c22_-222b;Alphen aan den Rijn;UMTS;28.4;103250;461339
antenneregister.fid-5a1e297e_17d0a604c22_-222a;Alphen aan den Rijn;UMTS;39.8;106495;462270
antenneregister.fid-5a1e297e_17d0a604c22_-2229;Alphen aan den Rijn;UMTS;27.7;104632;459751
antenneregister.fid-5a1e297e_17d0a604c22_-2228;Alphen aan den Rijn;UMTS;17.6;106611;462900
antenneregister.fid-5a1e297e_17d0a604c22_-2227;Alphen aan den Rijn;UMTS;35.2;105580;461800
antenneregister.fid-5a1e297e_17d0a604c22_-2226;Alphen aan den Rijn;UMTS;30.4;106450;462210
antenneregister.fid-5a1e297e_17d0a604c22_-2225;Alphen aan den Rijn;UMTS;25.3;103093;459681
antenneregister.fid-5a1e297e_17d0a604c22_-2224;Alphen aan den Rijn;UMTS;16.4;103723;460626
antenneregister.fid-5a1e297e_17d0a604c22_-2223;Alphen aan den Rijn;UMTS;27.8;105607;458698
antenneregister.fid-5a1e297e_17d0a604c22_-2222;Alphen aan den Rijn;UMTS;24.6;104818;460413
antenneregister.fid-5a1e297e_17d0a604c22_-2221;Alphen aan den Rijn;UMTS;24;103100;461345
antenneregister.fid-5a1e297e_17d0a604c22_-2220;Alphen aan den Rijn;UMTS;18.1;104297;459643
antenneregister.fid-5a1e297e_17d0a604c22_-221f;Alphen aan den Rijn;UMTS;42;106500;462255
antenneregister.fid-5a1e297e_17d0a604c22_-221e;Alphen aan den Rijn;UMTS;37;107797;458610
antenneregister.fid-5a1e297e_17d0a604c22_-221d;Alphen aan den Rijn;UMTS;41.3;106389;462000
antenneregister.fid-5a1e297e_17d0a604c22_-221c;Alphen aan den Rijn;UMTS;38.8;105079;462592
antenneregister.fid-5a1e297e_17d0a604c22_-221b;Alphen aan den Rijn;UMTS;14.8;104142;460096
antenneregister.fid-5a1e297e_17d0a604c22_-221a;Alphen aan den Rijn;UMTS;23.7;106276;459470
antenneregister.fid-5a1e297e_17d0a604c22_-2219;Alphen aan den Rijn;UMTS;21.8;103699;460222
antenneregister.fid-5a1e297e_17d0a604c22_-2218;Alphen aan den Rijn;UMTS;25;104539;463000
antenneregister.fid-5a1e297e_17d0a604c22_-2217;Alphen aan den Rijn;UMTS;19.2;104472;459096
antenneregister.fid-5a1e297e_17d0a604c22_-2216;Alphen aan den Rijn;UMTS;24.2;103683;461215
antenneregister.fid-5a1e297e_17d0a604c22_-2215;Alphen aan den Rijn;UMTS;39.2;105035;462688
antenneregister.fid-5a1e297e_17d0a604c22_-2214;Alphen aan den Rijn;UMTS;21.3;104490;459472
antenneregister.fid-5a1e297e_17d0a604c22_-2213;Alphen aan den Rijn;UMTS;38;104293;461254
antenneregister.fid-5a1e297e_17d0a604c22_-2212;Alphen aan den Rijn;UMTS;25.2;103803;461242
antenneregister.fid-5a1e297e_17d0a604c22_-2211;Alphen aan den Rijn;UMTS;30.3;105440;462555
antenneregister.fid-5a1e297e_17d0a604c22_-2210;Alphen aan den Rijn;UMTS;20.7;103210;459520
antenneregister.fid-5a1e297e_17d0a604c22_-220f;Alphen aan den Rijn;UMTS;35;106229;461121
antenneregister.fid-5a1e297e_17d0a604c22_-220e;Alphen aan den Rijn;UMTS;16.2;103586;460187
antenneregister.fid-5a1e297e_17d0a604c22_-220d;Alphen aan den Rijn;UMTS;24.5;105770;459032
antenneregister.fid-5a1e297e_17d0a604c22_-220c;Alphen aan den Rijn;UMTS;19.2;109920;457860
antenneregister.fid-5a1e297e_17d0a604c22_-220b;Alphen aan den Rijn;UMTS;22.8;109914;457857
antenneregister.fid-5a1e297e_17d0a604c22_-220a;Alphen aan den Rijn;UMTS;20.7;109920;457855
antenneregister.fid-5a1e297e_17d0a604c22_-2209;Alphen-Chaam;GSM 1800;27.8;118551.3301;390816.5
antenneregister.fid-5a1e297e_17d0a604c22_-2208;Alphen-Chaam;GSM 900;18;124519;389690
antenneregister.fid-5a1e297e_17d0a604c22_-2207;Alphen-Chaam;GSM 900;40;125071.7321;387323
antenneregister.fid-5a1e297e_17d0a604c22_-2206;Alphen-Chaam;GSM 900;34.9;125914.3301;391721.5
antenneregister.fid-5a1e297e_17d0a604c22_-2205;Alphen-Chaam;GSM 900;29.3;125107;387617
antenneregister.fid-5a1e297e_17d0a604c22_-2204;Alphen-Chaam;GSM 900;36.2;125149;387631
antenneregister.fid-5a1e297e_17d0a604c22_-2203;Alphen-Chaam;GSM 900;20;116650;392650
antenneregister.fid-5a1e297e_17d0a604c22_-2202;Alphen-Chaam;GSM 900;27.8;118545.2679;390818
antenneregister.fid-5a1e297e_17d0a604c22_-2201;Alphen-Chaam;GSM 900;45;117951.7321;391549
antenneregister.fid-5a1e297e_17d0a604c22_-2200;Alphen-Chaam;GSM 900;27.7;118545;390813
antenneregister.fid-5a1e297e_17d0a604c22_-21ff;Alphen-Chaam;GSM 900;26.8;120783;389093
antenneregister.fid-5a1e297e_17d0a604c22_-21fe;Alphen-Chaam;GSM 900;37.2;119890;392652
antenneregister.fid-5a1e297e_17d0a604c22_-21fd;Alphen-Chaam;GSM 900;30.5;113880.3301;391264.5
antenneregister.fid-5a1e297e_17d0a604c22_-21fc;Alphen-Chaam;GSM 900;29.5;113809;394115
antenneregister.fid-5a1e297e_17d0a604c22_-21fb;Alphen-Chaam;GSM 900;35;113956;391283
antenneregister.fid-5a1e297e_17d0a604c22_-21fa;Alphen-Chaam;GSM 900;25;115804.3301;395447.5
antenneregister.fid-5a1e297e_17d0a604c22_-21f9;Alphen-Chaam;LTE;34.9;125905.6699;391721.5
antenneregister.fid-5a1e297e_17d0a604c22_-21f8;Alphen-Chaam;LTE;40;125068.2679;387323
antenneregister.fid-5a1e297e_17d0a604c22_-21f7;Alphen-Chaam;LTE;45;117945.6699;391547.5
antenneregister.fid-5a1e297e_17d0a604c22_-21f6;Alphen-Chaam;LTE;30.5;113874.2679;391266
antenneregister.fid-5a1e297e_17d0a604c22_-21f5;Alphen-Chaam;LTE;25;115798.2679;395449
antenneregister.fid-5a1e297e_17d0a604c22_-21f4;Alphen-Chaam;LTE;27.5;125150;387635
antenneregister.fid-5a1e297e_17d0a604c22_-21f3;Alphen-Chaam;UMTS;38.5;125910;391729
antenneregister.fid-5a1e297e_17d0a604c22_-21f2;Alphen-Chaam;UMTS;40;125070;387326
antenneregister.fid-5a1e297e_17d0a604c22_-21f1;Alphen-Chaam;UMTS;30.6;125107;387627
antenneregister.fid-5a1e297e_17d0a604c22_-21f0;Alphen-Chaam;UMTS;36.8;125149;387635
antenneregister.fid-5a1e297e_17d0a604c22_-21ef;Alphen-Chaam;UMTS;27.8;118547;390824
antenneregister.fid-5a1e297e_17d0a604c22_-21ee;Alphen-Chaam;UMTS;45;117950;391555
antenneregister.fid-5a1e297e_17d0a604c22_-21ed;Alphen-Chaam;UMTS;25.2;120783;389100
antenneregister.fid-5a1e297e_17d0a604c22_-21ec;Alphen-Chaam;UMTS;37.2;119890;392662
antenneregister.fid-5a1e297e_17d0a604c22_-21eb;Alphen-Chaam;UMTS;27.8;118545;390820
antenneregister.fid-5a1e297e_17d0a604c22_-21ea;Alphen-Chaam;UMTS;31.8;113876;391272
antenneregister.fid-5a1e297e_17d0a604c22_-21e9;Alphen-Chaam;UMTS;35;113956;391290
antenneregister.fid-5a1e297e_17d0a604c22_-21e8;Alphen-Chaam;UMTS;30.8;113809;394125
antenneregister.fid-5a1e297e_17d0a604c22_-21e7;Alphen-Chaam;UMTS;25;115800;395452
antenneregister.fid-5a1e297e_17d0a604c22_-21e6;Ameland;GSM 1800;31.9;181856.7321;606927
antenneregister.fid-5a1e297e_17d0a604c22_-21e5;Ameland;GSM 1800;26.6;171572;606589
antenneregister.fid-5a1e297e_17d0a604c22_-21e4;Ameland;GSM 900;30.5;180952.3301;606892.5
antenneregister.fid-5a1e297e_17d0a604c22_-21e3;Ameland;GSM 900;28.7;181850.6699;606925.5
antenneregister.fid-5a1e297e_17d0a604c22_-21e2;Ameland;GSM 900;45;170849;607025
antenneregister.fid-5a1e297e_17d0a604c22_-21e1;Ameland;GSM 900;46;170851.7321;606999
antenneregister.fid-5a1e297e_17d0a604c22_-21e0;Ameland;GSM 900;39.4;180944.3301;606887.5
antenneregister.fid-5a1e297e_17d0a604c22_-21df;Ameland;LTE;30.5;180943.6699;606892.5
antenneregister.fid-5a1e297e_17d0a604c22_-21de;Ameland;LTE;46;170845.6699;606997.5
antenneregister.fid-5a1e297e_17d0a604c22_-21dd;Ameland;LTE;39.4;180938.2679;606889
antenneregister.fid-5a1e297e_17d0a604c22_-21dc;Ameland;UMTS;30.5;180948;606897
antenneregister.fid-5a1e297e_17d0a604c22_-21db;Ameland;UMTS;38.5;177236;606335
antenneregister.fid-5a1e297e_17d0a604c22_-21da;Ameland;UMTS;31.9;181855;606930
antenneregister.fid-5a1e297e_17d0a604c22_-21d9;Ameland;UMTS;30;170971;606991
antenneregister.fid-5a1e297e_17d0a604c22_-21d8;Ameland;UMTS;46;170850;607005
antenneregister.fid-5a1e297e_17d0a604c22_-21d7;Ameland;UMTS;26.6;171572;606599
antenneregister.fid-5a1e297e_17d0a604c22_-21d6;Ameland;UMTS;40.7;180940;606892
antenneregister.fid-5a1e297e_17d0a604c22_-21d5;Amersfoort;GSM 1800;30.4;152414;464623
antenneregister.fid-5a1e297e_17d0a604c22_-21d4;Amersfoort;GSM 1800;37.2;153285;464050
antenneregister.fid-5a1e297e_17d0a604c22_-21d3;Amersfoort;GSM 1800;15.1;155300.7321;462708
antenneregister.fid-5a1e297e_17d0a604c22_-21d2;Amersfoort;GSM 1800;14.3;155402.3301;465484.5
antenneregister.fid-5a1e297e_17d0a604c22_-21d1;Amersfoort;GSM 1800;27;156315;465050
